Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
2314753,The New Age Music Guide: Profiles and Recordings of 500 Top New Age Musicians,Patti Jean Birosik,"Birosik, Patti Jean",,"=""0020416407""","=""9780020416401""",0,Collier Books,Paperback,288,1989,1989,,2026/08/07,to-read,to-read (#441),to-read,,,,0,0
18931379,Getting Away from Already Being Pretty Much Away from It All: An Essay,David Foster Wallace,"Wallace, David Foster",,"=""""","=""""",0,"Little, Brown and Company",Kindle Edition,368,2012,,,2026/08/05,to-read,to-read (#440),to-read,,,,0,0
60324034,How to Say No: An Ancient Guide to the Art of Cynicism (Ancient Wisdom for Modern Readers),Diogenes of Sinope,"Sinope, Diogenes of",M.D. Usher,"=""0691229856""","=""9780691229850""",3.0,Princeton University Press,Hardcover,248,2022,2022,2026/08/05,2026/07/31,,,read,Diogenes was antiquity’s greatest curmudgeonly philosopher-cum-performance artist-cum-dog. This book is a decent Cynicism starter pack.,,,1,0
81779,The Symposium,Plato,"Plato, Plato",Christopher Gill,"=""0140449272""","=""9780140449273""",0,Penguin Books,Paperback,90,2003,-380,,2026/08/04,to-read,to-read (#439),to-read,,,,0,0
219906442,Squat,John Safran,"Safran, John",,"=""1760890170""","=""9781760890179""",4.0,Penguin Books Australia,Paperback,320,2024,,2026/08/04,2025/07/22,,,read,The nail-biting tale of a Jewish hunchback squatting in an eccentric artist’s secluded blue mansion eating Egg McMuffins and drinking stolen sake.,,,1,0
17014039,Assimilate: A Critical History of Industrial Music,S. Alexander Reed,"Reed, S. Alexander",,"=""0199832587""","=""9780199832583""",0,Oxford University Press,Hardcover,376,2013,2013,,2026/08/02,to-read,to-read (#438),to-read,,,,0,0
58396170,Puff Piece,John Safran,"Safran, John",,"=""1760890154""","=""9781760890155""",0,Penguin Books Australia,Paperback,384,2021,,,2026/08/02,to-read,to-read (#437),to-read,,,,0,0
214387885,Monument Eternal,Alice Coltrane,"Coltrane, Alice",,"=""1636142257""","=""9781636142258""",3.0,Akashic Books,Hardcover,72,2025,,2026/07/28,2026/07/28,,,read,"A compelling and bizarre little book on divine visions, demonic entities, astral projection, consciousness, and magical musical instruments from a jazz legend.",,,1,0
30145933,An Age Without Samples: Originality and Creativity in the Digital World,Ikutaro Kakehashi,"Kakehashi, Ikutaro",,"=""1495069273""","=""9781495069277""",0,Hal Leonard,Hardcover,312,2017,,,2026/07/28,to-read,to-read (#436),to-read,,,,0,0
56897474,The Dictionary of Obscure Sorrows,John Koenig,"Koenig, John",,"=""1501153641""","=""9781501153648""",4.0,Simon & Schuster,Hardcover,272,2021,2018,2026/07/25,2026/07/22,,,read,"aftergloom, chthosis, dès vu, ellipsism, gnossienne, klexos, ledsome, mornden, suente, thrapt, thwit, vellichor, wytai, yu yi, and zenosyne.",,,1,0
271672,Coming Through Slaughter,Michael Ondaatje,"Ondaatje, Michael",,"=""0676971768""","=""9780676971767""",0,Vintage Canada,Paperback,176,1998,1976,,2026/07/23,to-read,to-read (#435),to-read,,,,0,0
7125057,"Got the Life: My Journey of Addiction, Faith, Recovery, and Korn",Fieldy,"Fieldy, Fieldy",,"=""006166250X""","=""9780061662508""",3.0,Dey Street Books,Paperback,304,2010,2009,2026/07/09,2023/03/26,,,read,"Fieldy’s memoir is a fairly typical rock star affair, except he confesses to slapping bandmates and girlfriends just as much as bass guitars. Glad he’s sober now.",,,1,0
25417399,Angel Claws,Alejandro Jodorowsky,"Jodorowsky, Alejandro","Mœbius, Jean Giraud, Thierry Nantier","=""159465428X""","=""9781594654282""",2.0,Humanoids,Kindle Edition,72,2014,1994,2026/06/20,2026/06/20,,,read,"Salo, Or The 120 Days Of Santa Sangre. Wildly NSFW.",,,1,0
56153,QED: The Strange Theory of Light and Matter,Richard P. Feynman,"Feynman, Richard P.",A. Zee,"=""0691125759""","=""9780691125756""",0,Princeton University Press,Paperback,192,2006,1985,,2026/06/04,to-read,to-read (#434),to-read,,,,1,0
22090572,The Urban Revolution,Henri Lefebvre,"Lefebvre, Henri",,"=""1452943583""","=""9781452943589""",0,Univ Of Minnesota Press,Kindle Edition,222,2003,1970,,2026/07/04,to-read,to-read (#433),to-read,,,,0,0
199960704,Every Man for Himself and God Against All,Werner Herzog,"Herzog, Werner",Michael Hofmann,"=""1847927246""","=""9781847927248""",0,Bodley Head,Hardcover,355,2023,2022,,2026/04/30,did-not-finish,did-not-finish (#25),did-not-finish,,,,1,0
252769,"Writings on Music, 1965-2000",Steve Reich,"Reich, Steve",Paul Hillier,"=""0195151151""","=""9780195151152""",0,Oxford University Press,Paperback,272,2004,2002,,2026/06/30,to-read,to-read (#432),to-read,,,,0,0
19220144,The Myth of Sisyphus,Albert Camus,"Camus, Albert",Justin O'Brien,"=""0141914173""","=""9780141914176""",3.0,Penguin,Kindle Edition,212,2013,1942,2026/06/29,2024/01/03,,,read,Maybe the real treasure was the boulders we pushed along the way.,,,1,0
1261061,Vault of the Vampire (Fighting Fantasy #38),Keith Martin,"Martin, Keith",Martin McKenna,"=""0140328777""","=""9780140328776""",0,Puffin,Paperback,240,1989,1989,,2026/06/29,to-read,to-read (#431),to-read,,,,0,0
15789739,"Crypt of the Sorcerer (Fighting Fantasy, #26)",Ian Livingstone,"Livingstone, Ian","John Sibbick, Les Edwards","=""0140321551""","=""9780140321555""",0,Puffin Books,Paperback,224,1987,1987,,2026/06/29,to-read,to-read (#430),to-read,,,,0,0
1261049,House of Hell (Fighting Fantasy #10),Steve   Jackson,"Jackson, Steve","Ian Livingstone, Ian Miller, Tim Sell","=""0140318313""","=""9780140318319""",0,Puffin,Mass Market Paperback,224,1984,1982,,2026/06/29,to-read,to-read (#429),to-read,,,,0,0
4130069,Shock value,John   Waters,"Waters, John",,"=""044057871X""","=""9780440578710""",4.0,Delacorte ,Paperback,243,1991,1981,2026/06/25,2020/11/07,,,read,"“No other filmmaker presents humans so disgustingly. His characters aren’t just hideous, they affront the soul. They exude the aroma of outside toilets.”",,,1,0
292492,Silence: Lectures and Writings,John Cage,"Cage, John",,"=""0714510432""","=""9780714510439""",0,Marion Boyars,Paperback,276,1994,1961,,2022/05/01,to-read,to-read (#78),to-read,,,,0,0
17573082,"The Question Concerning Technology, and Other Essays",Martin Heidegger,"Heidegger, Martin",,"=""0062290703""","=""9780062290700""",0,Harper Perennial Modern Classics,Paperback,224,2013,1938,,2026/06/22,to-read,to-read (#428),to-read,,,,0,0
231230362,Picnic at Hanging Rock,Joan Lindsay,"Lindsay, Joan",Maile Meloy,"=""1101666137""","=""9781101666135""",0,Penguin Publishing Group,Kindle Edition,198,2014,1967,,2026/05/29,to-read,to-read (#414),to-read,,,,0,0
781419,The Marriage of Heaven and Hell,William Blake,"Blake, William",Geoffrey L. Keynes,"=""0192811673""","=""9780192811677""",0,Oxford University Press,Paperback,84,1975,1790,,2021/06/01,to-read,to-read (#46),to-read,,,,0,0
